[2024-12-03 10:38:40,072] INFO in _internal: 127.0.0.1 - - [03/Dec/2024 10:38:40] "GET /api/processes?host_id=dev_ai HTTP/1.1" 200 -
[2024-12-03 10:38:42,454] INFO in _internal: 127.0.0.1 - - [03/Dec/2024 10:38:42] "GET /api/processes?host_id=prod_ai HTTP/1.1" 200 -
[2024-12-03 10:38:42,978] INFO in _internal: 127.0.0.1 - - [03/Dec/2024 10:38:42] "GET /api/processes?host_id=prod_ai HTTP/1.1" 200 -
[2024-12-03 10:50:38,715] INFO in _internal: 127.0.0.1 - - [03/Dec/2024 10:50:38] "GET /bootstrap/static/css/bootstrap.min.css HTTP/1.1" 200 -
[2024-12-03 10:50:42,236] INFO in _internal: 127.0.0.1 - - [03/Dec/2024 10:50:42] "GET /api/processes?host_id=prod_ai HTTP/1.1" 200 -
[2024-12-03 10:51:42,827] INFO in _internal: 127.0.0.1 - - [03/Dec/2024 10:51:42] "GET /logs HTTP/1.1" 200 -
[2024-12-03 10:51:42,915] INFO in _internal: 127.0.0.1 - - [03/Dec/2024 10:51:42] "[36mGET /static/css/style.css HTTP/1.1[0m" 304 -
[2024-12-03 10:51:42,916] INFO in _internal: 127.0.0.1 - - [03/Dec/2024 10:51:42] "[36mGET /bootstrap/static/css/bootstrap.min.css HTTP/1.1[0m" 304 -
[2024-12-03 10:51:42,920] INFO in _internal: 127.0.0.1 - - [03/Dec/2024 10:51:42] "[36mGET /bootstrap/static/umd/popper.min.js HTTP/1.1[0m" 304 -
[2024-12-03 10:51:42,949] INFO in _internal: 127.0.0.1 - - [03/Dec/2024 10:51:42] "[36mGET /bootstrap/static/js/bootstrap.min.js HTTP/1.1[0m" 304 -
[2024-12-03 10:51:42,956] INFO in _internal: 127.0.0.1 - - [03/Dec/2024 10:51:42] "[36mGET /static/js/logs.js HTTP/1.1[0m" 304 -
[2024-12-03 10:51:45,726] INFO in _internal: 127.0.0.1 - - [03/Dec/2024 10:51:45] "GET /api/processes?host_id=dev_ai HTTP/1.1" 200 -
[2024-12-03 10:51:50,378] INFO in _internal: 127.0.0.1 - - [03/Dec/2024 10:51:50] "GET /api/logs/omnibot?host_id=dev_ai&type=stdout HTTP/1.1" 200 -
[2024-12-03 10:51:52,576] INFO in _internal: 127.0.0.1 - - [03/Dec/2024 10:51:52] "GET /api/logs/omnibot?host_id=dev_ai&type=stderr HTTP/1.1" 200 -
[2024-12-03 10:52:13,730] INFO in _internal: 127.0.0.1 - - [03/Dec/2024 10:52:13] "GET /api/logs/omnibot?host_id=dev_ai&type=stderr HTTP/1.1" 200 -
[2024-12-03 10:52:14,765] INFO in _internal: 127.0.0.1 - - [03/Dec/2024 10:52:14] "GET /api/logs/omnibot?host_id=dev_ai&type=stderr HTTP/1.1" 200 -
[2024-12-03 10:52:15,354] INFO in _internal: 127.0.0.1 - - [03/Dec/2024 10:52:15] "GET /api/logs/omnibot?host_id=dev_ai&type=stderr HTTP/1.1" 200 -
[2024-12-03 10:52:15,491] INFO in _internal: 127.0.0.1 - - [03/Dec/2024 10:52:15] "GET /api/logs/omnibot?host_id=dev_ai&type=stderr HTTP/1.1" 200 -
[2024-12-03 10:52:15,654] INFO in _internal: 127.0.0.1 - - [03/Dec/2024 10:52:15] "GET /api/logs/omnibot?host_id=dev_ai&type=stderr HTTP/1.1" 200 -
[2024-12-03 10:52:15,821] INFO in _internal: 127.0.0.1 - - [03/Dec/2024 10:52:15] "GET /api/logs/omnibot?host_id=dev_ai&type=stderr HTTP/1.1" 200 -
[2024-12-03 10:52:16,038] INFO in _internal: 127.0.0.1 - - [03/Dec/2024 10:52:16] "GET /api/logs/omnibot?host_id=dev_ai&type=stderr HTTP/1.1" 200 -
[2024-12-03 10:55:13,892] INFO in _internal: [31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on all addresses (0.0.0.0)
 * Running on http://127.0.0.1:5000
 * Running on http://172.1.1.143:5000
[2024-12-03 10:55:13,893] INFO in _internal: [33mPress CTRL+C to quit[0m
[2024-12-03 10:55:13,894] INFO in _internal:  * Restarting with stat
[2024-12-03 10:55:14,025] WARNING in _internal:  * Debugger is active!
[2024-12-03 10:55:14,037] INFO in _internal:  * Debugger PIN: 287-585-076
[2024-12-03 10:58:33,420] INFO in _internal: 127.0.0.1 - - [03/Dec/2024 10:58:33] "GET /hosts HTTP/1.1" 200 -
[2024-12-03 10:58:33,672] INFO in _internal: 127.0.0.1 - - [03/Dec/2024 10:58:33] "GET /static/css/style.css HTTP/1.1" 200 -
[2024-12-03 10:58:33,672] INFO in _internal: 127.0.0.1 - - [03/Dec/2024 10:58:33] "GET /bootstrap/static/umd/popper.min.js HTTP/1.1" 200 -
[2024-12-03 10:58:33,674] INFO in _internal: 127.0.0.1 - - [03/Dec/2024 10:58:33] "GET /bootstrap/static/css/bootstrap.min.css HTTP/1.1" 200 -
[2024-12-03 10:58:33,699] INFO in _internal: 127.0.0.1 - - [03/Dec/2024 10:58:33] "GET /bootstrap/static/css/bootstrap.min.css.map HTTP/1.1" 200 -
[2024-12-03 10:58:33,701] INFO in _internal: 127.0.0.1 - - [03/Dec/2024 10:58:33] "GET /bootstrap/static/js/bootstrap.min.js HTTP/1.1" 200 -
